date,total_calories,total_protein,water_intake,crea_intake
24-Nov,"1,102",22,2 L,5g
25-Nov,"1,171",60,2.5 L,5g
26-Nov,"2,831",104,2 L,5g
27-Nov,811,25,2.5 L,5g
28-Nov,"1,120",31,3 L,5g
29-Nov,795,24,2.5 L,5g
30-Nov,"1,080",63,2.5 L,5g
1-Dec,"2,505",115,2.5 L,5g
2-Dec,"1,897",119,2.5 L,5g
3-Dec,"2,712",107,3 L,5g
4-Dec,"1,560",52,2 L,5g
5-Dec,"1,981",144,2.5 L,5g
6-Dec,"2,754",85,3.5 L,5g
7-Dec,"2,248",64,3 L,5g
8-Dec,"2,679",106,2,5g
9-Dec,"2,111",100,2.5,5g
10-Dec,"2,346",145,2,5g
11-Dec,"2,303",85,2,5g
12-Dec,"2,288",87,3,5g
13-Dec,"1,787",67,2.5,5g
14-Dec,"1,804",69,2,5g
15-Dec,"2,134",74,3,5g
16-Dec,"1,874",98,3,5g
17-Dec,"1,662",78,2.5,5g
18-Dec,"1,904",77,2,5g
19-Dec,"1,987",93,2,5g
20-Dec,"1,729",78,2.5,5g
21-Dec,"1,772",63,2,5g
22-Dec,"1,912",58,2.5,5g
23-Dec,"2,723",157,2.5,5g
24-Dec,"2,905",119,2.5,5g
25-Dec,"2,221",80,2.5,5g
26-Dec,"2,328",109,2.5,5g
27-Dec,"2,144",103,2.5,5g
28-Dec,"2,233",87,2.5,5g
29-Dec,"2,163",84,2.5,5g
30-Dec,"2,419",127,3,5g
31-Dec,"2,215",75,2.5,5g
1-Jan,"2,508",114,2,5g
2-Jan,"2,648",117,2.5,5g
3-Jan,"2,283",118,3.5,5g
4-Jan,"2,155",87,2.5,5g
5-Jan,"3,439",164,2,5g
6-Jan,"2,372",88,2,5g
7-Jan,"2,350",107,2.5,5g
8-Jan,"3,465",93,2.5,5g
9-Jan,"2,317",84,2,5g
10-Jan,"2,277",96,2.5,5g
11-Jan,"2,990",139,2,5g
12-Jan,"2,497",109,2,5g
13-Jan,"2,325",165,2,5g
14-Jan,"2,167",118,2.5,5g
15-Jan,"2,647",107,2.5,5g
16-Jan,"3,351",165,2,5g
17-Jan,"2,712",111,2.5,5g
18-Jan,"2,307",102,2.5,5g
19-Jan,"2,242",91,2.5,5g
20-Jan,"2,411",137,3,5g
21-Jan,"3,431",137,2,5g
22-Jan,"2,178",100,2.5,5g
23-Jan,"2,270",143,2.5,5g
24-Jan,"2,273",128,2,5g
25-Jan,"3,037",128,2,5g
26-Jan,"2,135",126,3,5g
27-Jan,"2,262",127,2.5,5g
28-Jan,"2,167",98,2,5g
29-Jan,"2,098",130,2.5,5g
30-Jan,"2,201",139,2.5,5g
31-Jan,"2,785",127,2,5g
1-Feb,"2,438",110,2.5,5g
